"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Sector Name","Sector Code","Counterpart Sector Name","Counterpart Sector Code","Counterpart Country Name","Counterpart Country Code","Metadata Attribute","Metadata Value","Frequency"
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Australia","193","","","","","","","","","Country Code","193",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Australia","193","","","","","","","","","Country Full Name","Australia",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Australia","193","","","","","","","","","Country ISO 2 Code","AU",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Australia","193","","","","","","","","","Country ISO 3 Code","AUS",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Australia","193","","","","","","","","","Country Name","Australia",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Australia","193","","","","","","","","","Country SDMX Code","AU",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Australia","193","","","","","","","","","Country SDMX Name","Australia",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Australia","193","","","","","","","","","Country Short Name","Australia",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Austria","122","","","","","","","","","Country Code","122",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Austria","122","","","","","","","","","Country Full Name","Austria",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Austria","122","","","","","","","","","Country ISO 2 Code","AT",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Austria","122","","","","","","","","","Country ISO 3 Code","AUT",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Austria","122","","","","","","","","","Country Name","Austria",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Austria","122","","","","","","","","","Country SDMX Code","AT",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Austria","122","","","","","","","","","Country SDMX Name","Austria",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Austria","122","","","","","","","","","Country Short Name","Austria",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Azerbaijan, Rep. of","912","","","","","","","","","Country Code","912",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Azerbaijan, Rep. of","912","","","","","","","","","Country Full Name","Azerbaijan, Republic of",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Azerbaijan, Rep. of","912","","","","","","","","","Country ISO 2 Code","AZ",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Azerbaijan, Rep. of","912","","","","","","","","","Country ISO 3 Code","AZE",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Azerbaijan, Rep. of","912","","","","","","","","","Country Name","Azerbaijan, Rep. of",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Azerbaijan, Rep. of","912","","","","","","","","","Country SDMX Code","AZ",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Azerbaijan, Rep. of","912","","","","","","","","","Country SDMX Name","Azerbaijan",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Azerbaijan, Rep. of","912","","","","","","","","","Country Short Name","Azerbaijan",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahamas, The","313","","","","","","","","","Country Code","313",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahamas, The","313","","","","","","","","","Country Full Name","Bahamas, The",""
